Manufacturer,Model,Code (ICAO),Classes,Engines
Embraer,ERJ-200,E195,M/E,L2J
Embraer,ERJ-190-300,E290,M/D,L2J
Embraer,ERJ-190-400,E295,M/D,L2J
Embraer,ERJ-190-500,E275,M/Z,L2J
Embraer,KC-390,E390,M/D,L2J
Embraer,P-95 Bandeirulha,E110,L/G,L2T
Embraer,PA-25 Pawnee,PA25,L/G,L1P
Embraer,PA-32RT-300 Lance 2,P32T,L/G,L1P
Embraer,R-95 Bandeirante,E110,L/G,L2T
Embraer,R-99,E145,M/F,L2J
Embraer,RT-26 Xavante,M326,L/G,L1J
Embraer,SC-95 Bandeirante,E110,L/G,L2T
Embraer,T-27 Tucano,TUCA,L/G,L1T
Embraer,U-19 Ipanema,IPAN,L/G,L1P
Embraer,U-7 Seneca,PA34,L/G,L2P
Embraer,VC-97 Brasilia,E120,M/G,L2T
Embraer,VC-99A,E145,M/F,L2J
Embraer,VC-99B Legacy,E35L,M/F,L2J
Embraer,VC-99B Legacy 600,E35L,M/F,L2J
Embraer,VC-99C,E135,M/F,L2J
Embraer,VU-9 Xingu,E121,L/G,L2T
Embraer,YA-29 Super Tucano,E314,L/G,L1T
Ilyushin,A-50,A50,H/C,L4J
Ilyushin,Be-976,A50,H/C,L4J
Ilyushin,II-103,I103,L/G,L1P
Ilyushin,II-112,I112,M/,L2T
Ilyushin,II-114,I114,M/E,L2T
Ilyushin,II-14,IL14,M/G,L2P
Ilyushin,II-18,IL18,M/D,L4T
Ilyushin,II-18 Bizon,IL18,M/D,L4T
Ilyushin,II-20,IL18,M/D,L4T
Ilyushin,II-22 Zebra,IL18,M/D,L4T
Ilyushin,II-24,IL18,M/D,L4T
Ilyushin,II-28,IL28,M/F,L2J
Ilyushin,II-38,IL38,M/D,L4T
Ilyushin,II-62,IL62,H/C,L4J
Ilyushin,II-76,IL76,H/C,L4J
Ilyushin,II-76 Gajaraj,IL76,H/C,L4J
Ilyushin,II-78,IL76,H/C,L4J
Ilyushin,II-82,IL76,H/C,L4J
Ilyushin,II-86,IL86,H/C,L4J
Ilyushin,II-87,IL86,H/C,L4J
Ilyushin,II-96,IL96,H/B,L4J
Sukhoi,J-11,SU27,M/F,L2J
Sukhoi,JJ-11,SU27,M/F,L2J
Sukhoi,S-37 Berkut,S37,M/F,L2J
Sukhoi,Su-17,SU17,M/F,L1J
Sukhoi,Su-20,SU17,M/F,L1J
Sukhoi,Su-22,SU17,M/F,L1J
Sukhoi,Su-24,SU24,M/F,L2J
Sukhoi,Su-25,SU25,M/F,L2J
Sukhoi,Su-25 Scorpion,SU25,M/F,L2J
Sukhoi,Su-26,SU26,L/G,L1P
Sukhoi,Su-27,SU27,M/F,L2J
Sukhoi,Su-28,SU25,M/F,L2J
Sukhoi,Su-29,SU29,L/G,L1P
Sukhoi,Su-30,SU27,M/F,L2J
Sukhoi,Su-31,SU31,L/G,L1P
Sukhoi,Su-32,SU27,M/F,L2J
Sukhoi,Su-33,SU27,M/F,L2J
Sukhoi,Su-34,SU27,M/F,L2J
Sukhoi,Su-35,SU27,M/F,L2J
Sukhoi,Su-37,SU27,M/F,L2J
Sukhoi,Su-38,SU38,L/G,L1P
Sukhoi,Su-39,SU25,M/F,L2J
Sukhoi,Su-47 Berkut,S37,M/F,L2J
Sukhoi,Su-57,SU57,M/Z,L2J
Sukhoi,Su-7,SU7,M/G,L1J
Sukhoi,Su-80,SU80,M/G,L2T
Sukhoi,Superjet 100-95,SU95,M/E,L2J
Sukhoi,T-50,SU57,M/Z,L2J
Tupolev,Tu-134,T134,M/E,L2J
Tupolev,Tu-142,TU95,H/C,L4T
Tupolev,Tu-154,T154,M/D,L3J
Tupolev,Tu-16,TU16,M/D,L2J
Tupolev,Tu-160,T160,H/B,L4J
Tupolev,Tu-20,TU95,H/C,L4T
Tupolev,Tu-204,T204,M/D,L2J
Tupolev,Tu-214,T204,M/D,L2J
Tupolev,Tu-22,TU22,M/D,L2J
Tupolev,Tu-224,T204,M/D,L2J
Tupolev,Tu-22M,T22M,M/D,L2J
Tupolev,Tu-234,T204,M/D,L2J
Tupolev,Tu-334,T334,M/E,L2J
Tupolev,Tu-95,TU95,H/C,L4T
Yakovlev,Yak-11,YK11,L/G,L1P
Yakovlev,Yak-112,Y112,L/G,L1P
Yakovlev,Yak-12,YK12,L/G,L1P
Yakovlev,Yak-130,Y130,M/G,L2J
Yakovlev,Yak-142,YK42,M/D,L3J
Yakovlev,Yak-18,YK18,L/G,L1P
Yakovlev,Yak-18A,YK18,L/G,L1P
Yakovlev,Yak-18P,YK18,L/G,L1P
Yakovlev,Yak-18PM,YK18,L/G,L1P
Yakovlev,Yak-18PS,YK18,L/G,L1P
Yakovlev,Yak-18T,Y18T,L/G,L1P
Yakovlev,Yak-18U,YK18,L/G,L1P
Yakovlev,Yak-28,YK28,M/F,L2J
Yakovlev,Yak-3,YAK3,L/G,L1P
Yakovlev,Yak-30,YK30,L/G,L1J
Yakovlev,Yak-32,YK30,L/G,L1J
Yakovlev,Yak-38,YK38,M/G,L3J
Yakovlev,Yak-40,YK40,M/G,L3J
Yakovlev,Yak-42,YK42,M/D,L3J
Yakovlev,Yak-50,YK50,L/G,L1P
Yakovlev,Yak-52,YK52,L/G,L1P
Yakovlev,Yak-53,YK53,L/G,L1P
Yakovlev,Yak-54,YK54,L/G,L1P
Yakovlev,Yak-55,YK55,L/G,L1P
Yakovlev,Yak-58,YK58,L/G,L1P
Yakovlev,Yak-9,YAK9,L/G,L1P
Gulfstream Aerospace,690 Jetprop Commander 840,AC90,L/G,L2T
Gulfstream Aerospace,690 Jetprop Commander 900,AC90,L/G,L2T
Gulfstream Aerospace,695 Jetprop Commander 1000,AC95,L/G,L2T
Gulfstream Aerospace,695 Jetprop Commander 980,AC95,L/G,L2T
Gulfstream Aerospace,C-20A Gulfstream 3,GLF3,M/F,L2J
Gulfstream Aerospace,C-20B Gulfstream 3,GLF3,M/F,L2J
Gulfstream Aerospace,C-20C Gulfstream 3,GLF3,M/F,L2J
Gulfstream Aerospace,C-20D Gulfstream 3,GLF3,M/F,L2J
Gulfstream Aerospace,C-20E Gulfstream 3,GLF3,M/F,L2J
Gulfstream Aerospace,C-20F Gulfstream 4,GLF4,M/F,L2J
Gulfstream Aerospace,C-20G Gulfstream 4,GLF4,M/F,L2J
Gulfstream Aerospace,C-20H Gulfstream 4,GLF4,M/F,L2J
Gulfstream Aerospace,C-37 Gulfstream 5,GLF5,M/E,L2J
Gulfstream Aerospace,G-1159A Gulfstream 3,GLF3,M/F,L2J
Gulfstream Aerospace,G-1159A Gulfstream SRA-1,GLF3,M/F,L2J
Gulfstream Aerospace,G-4 Gulfstream 4,GLF4,M/F,L2J
Gulfstream Aerospace,G-4 Gulfstream 4SP,GLF4,M/F,L2J
Gulfstream Aerospace,G-4 Gulfstream G300,GLF4,M/F,L2J
Gulfstream Aerospace,G-4 Gulfstream G350,GLF4,M/F,L2J
Gulfstream Aerospace,G-4 Gulfstream G400,GLF4,M/F,L2J
Gulfstream Aerospace,G-4 Gulfstream SRA-4,GLF4,M/F,L2J
Gulfstream Aerospace,G-4X Gulfstream G450,GLF4,M/F,L2J
Gulfstream Aerospace,G-5 Gulfstream 5,GLF5,M/E,L2J
Gulfstream Aerospace,G-5 Shavit,GLF5,M/E,L2J
Gulfstream Aerospace,G-55P Eitam,GLF5,M/E,L2J
Gulfstream Aerospace,G-55SP Gulfstream 5SP,GLF5,M/E,L2J
Gulfstream Aerospace,G-55SP Gulfstream G500,GLF5,M/E,L2J
Gulfstream Aerospace,G-55SP Gulfstream G550,GLF5,M/E,L2J
Gulfstream Aerospace,G-6 Gulfstream G650,GLF6,M/,L2J
Gulfstream Aerospace,G-7 Gulfstream G400,GA4C,M/,L2J
Gulfstream Aerospace,G-7 Gulfstream G500,GA5C,M/E,L2J
Gulfstream Aerospace,G-7 Gulfstream G600,GA6C,M/E,L2J
Gulfstream Aerospace,G-8 Gulfstream G700,GA7C,M/E,L2J
Gulfstream Aerospace,G-8 Gulfstream G800,GA8C,M/,L2J
Gulfstream Aerospace,Gulfstream G100,ASTR,M/G,L2J
Gulfstream Aerospace,Gulfstream G150,G150,M/G,L2J
Gulfstream Aerospace,Gulfstream G200,GALX,M/G,L2J
Gulfstream Aerospace,Gulfstream G250,G250,M/G,L2J
Gulfstream Aerospace,Gulfstream G280,G280,M/G,L2J
Gulfstream Aerospace,S102 Gulfstream 4,GLF4,M/F,L2J
Gulfstream Aerospace,Tp102 Gulfstream 4,GLF4,M/F,L2J
Gulfstream Aerospace,U-4 Gulfstream 4,GLF4,M/F,L2J
Lockheed,182 Hercules,C130,M/D,L4T
Lockheed,282 Hercules,C130,M/D,L4T
Lockheed,382 Hercules,C130,M/D,L4T
Lockheed,AC-130 Spectre,C130,M/D,L4T
Lockheed,AP-3 Orion,P3,M/E,L4T
Lockheed,AT-33,T33,M/G,L1J
Lockheed,B-34 Lexington,L37,M/G,L2P
Lockheed,C-121 Constellation,CONI,M/D,L4P
Lockheed,C-130 Karnaf,C130,M/D,L4T
Lockheed,C-130A Hercules,C130,M/D,L4T
Lockheed,C-130B Hercules,C130,M/D,L4T
Lockheed,C-130E Hercules,C130,M/D,L4T
Lockheed,C-130F Hercules,C130,M/D,L4T
Lockheed,C-130H Hercules,C130,M/D,L4T
Lockheed,C-130K Hercules,C130,M/D,L4T
Lockheed,C-40 Electra Junior,L12,L/G,L2P
Lockheed,C-5 Super Galaxy,C5M,H/B,L4J
Lockheed,C-56 Lodestar,L18,M/G,L2P
Lockheed,C-57 Lodestar,L18,M/G,L2P
Lockheed,C-59 Lodestar,L18,M/G,L2P
Lockheed,C-60 Lodestar,L18,M/G,L2P
Lockheed,CC-130 Hercules,C130,M/D,L4T
Lockheed,CP-140 Arcturus,P3,M/E,L4T
Lockheed,CP-140 Aurora,P3,M/E,L4T
Lockheed,DC-130 Hercules,C130,M/D,L4T
Lockheed,EC-130 Aya,C130,M/D,L4T
Lockheed,EC-130 Sapeer,C130,M/D,L4T
Lockheed,EC-130E Hercules,C130,M/D,L4T
Lockheed,EC-130G Hercules,C130,M/D,L4T
Lockheed,EC-130H Hercules,C130,M/D,L4T
Lockheed,EC-130Q Hercules,C130,M/D,L4T
Lockheed,EP-3 Orion,P3,M/E,L4T
Lockheed,ER-2,U2,M/G,L1J
Lockheed,F-104 Starfighter,F104,M/G,L1J
Lockheed,F-117 Night Hawk,F117,M/F,L2J
Lockheed,F-16 Fighting Falcon,F16,M/F,L1J
Lockheed,F-5 Lightning,P38,M/G,L2P
Lockheed,HC-130 Hercules,C130,M/D,L4T
Lockheed,JC-130 Hercules,C130,M/D,L4T
Lockheed,JO Electra Junior,L12,L/G,L2P
Lockheed,KC-130 Karnaf,C130,M/D,L4T
Lockheed,KC-130B Hercules,C130,M/D,L4T
Lockheed,KC-130F Hercules,C130,M/D,L4T
Lockheed,KC-130H Hercules,C130,M/D,L4T
Lockheed,KC-130R Hercules,C130,M/D,L4T
Lockheed,KC-130T Hercules,C130,M/D,L4T
Lockheed,L-10 Electra,L10,L/G,L2P
Lockheed,L-100 Hercules,C130,M/D,L4T
Lockheed,L-1011 TriStar,L101,H/C,L3J
Lockheed,L-12 Electra Junior,L12,L/G,L2P
Lockheed,L-1329 Jetstar 2,L29B,M/F,L4J
Lockheed,L-1329 Jetstar 6,L29A,M/F,L4J
Lockheed,L-1329 Jetstar 731,L29B,M/F,L4J
Lockheed,L-1329 Jetstar 8,L29A,M/F,L4J
Lockheed,L-137 Ventura,L37,M/G,L2P
Lockheed,L-14 Hudson,L14,M/G,L2P
Lockheed,L-14 Super Electra,L14,M/G,L2P
Lockheed,L-15 Harpoon,L37,M/G,L2P
Lockheed,L-18 Lodestar,L18,M/G,L2P
Lockheed,L-185 Orion,P3,M/E,L4T
Lockheed,L-188 Electra,L188,M/E,L4T
Lockheed,L-222 Lightning,P38,M/G,L2P
Lockheed,L-237 Ventura,L37,M/G,L2P
Lockheed,L-285 Orion,P3,M/E,L4T
Lockheed,L-322 Lightning,P38,M/G,L2P
Lockheed,L-394 Viking,S3,M/F,L2J
Lockheed,L-422 Lightning,P38,M/G,L2P
Lockheed,L-426 Neptune,P2,M/E,L2P
Lockheed,L-580 Shooting Star,T33,M/G,L1J
Lockheed,L-580 T-Bird,T33,M/G,L1J
Lockheed,L-583 Starfighter,F104,M/G,L1J
Lockheed,L-683 Starfighter,F104,M/G,L1J
Lockheed,L-685 Orion,P3,M/E,L4T
Lockheed,L-726 Neptune,P2,M/E,L2P
Lockheed,L-785 Orion,P3,M/E,L4T
Lockheed,L-826 Neptune,P2,M/E,L2P
Lockheed,LASA-60,LA60,L/G,L1P
Lockheed,LC-130 Hercules,C130,M/D,L4T
Lockheed,MC-130 Hercules,C130,M/D,L4T
Lockheed,NC-130 Hercules,C130,M/D,L4T
Lockheed,Night Hawk,F117,M/F,L2J
Lockheed,NP-3 Orion,P3,M/E,L4T
Lockheed,NT-33,T33,M/G,L1J
Lockheed,P-2 Neptune,P2,M/E,L2P
Lockheed,P2V Neptune,P2,M/E,L2P
Lockheed,P-3 Orion,P3,M/E,L4T
Lockheed,P-38 Lightning,P38,M/G,L2P
Lockheed,PV-1 Ventura,L37,M/G,L2P
Lockheed,PV-2 Harpoon,L37,M/G,L2P
Lockheed,R50 Lodestar,L18,M/G,L2P
Lockheed,RC-130 Hercules,C130,M/D,L4T
Lockheed,RF-104 Starfighter,F104,M/G,L1J
Lockheed,RP-3 Orion,P3,M/E,L4T
Lockheed,RT-33,T33,M/G,L1J
Lockheed,S-3 Viking,S3,M/F,L2J
Lockheed,SP-2 Neptune,P2,M/E,L2P
Lockheed,T-33 Shooting Star,T33,M/G,L1J
Lockheed,T-33 T-Bird,T33,M/G,L1J
Lockheed,TC-130 Hercules,C130,M/D,L4T
Lockheed,TF-104 Starfighter,F104,M/G,L1J
Lockheed,TP-3 Orion,P3,M/E,L4T
Lockheed,Tp84 Hercules,C130,M/D,L4T
Lockheed,U-2,U2,M/G,L1J
Lockheed,UP-3 Orion,P3,M/E,L4T
Lockheed,VC-121 Constellation,CONI,M/D,L4P
Lockheed,VC-130 Hercules,C130,M/D,L4T
Lockheed,VP-3 Orion,P3,M/E,L4T
Lockheed,WC-130E Hercules,C130,M/D,L4T
Lockheed,WC-130H Hercules,C130,M/D,L4T
Lockheed,WP-3 Orion,P3,M/E,L4T
Lockheed,WV Warning Star,CONI,M/D,L4P
Lockheed,XR2O Electra,L10,L/G,L2P
Lockheed,XR5O Lodestar,L18,M/G,L2P
Lockheed,YO-3,03,L/G,L1P
Lockheed Martin,382J Super Hercules,C30J,M/D,L4T
Lockheed Martin,382U Super Hercules,C30J,M/D,L4T
Lockheed Martin,382V Super Hercules,C30J,M/D,L4T
Lockheed Martin,C-130J Super Hercules,C30J,M/D,L4T
Lockheed Martin,CC-130J Super Hercules,C30J,M/D,L4T
Lockheed Martin,EC-130J Super Hercules,C30J,M/D,L4T
Lockheed Martin,F-16 Sufa,F16,M/F,L1J
Lockheed Martin,F-16 Desert Falcon,F16,M/F,L1J
Lockheed Martin,F-22 Raptor,F22,M/F,L2J
Lockheed Martin,F-35A Lightning 2,F35,M/F,L1J
Lockheed Martin,F-35B Lightning 2,VF35,M/F,L1J
Lockheed Martin,F-35C Lightning 2,F35,M/F,L1J
Lockheed Martin,HC-130J Super Hercules,C30J,M/D,L4T
Lockheed Martin,KC-130J Super Hercules,C30J,M/D,L4T
Lockheed Martin,LM-100J Super Hercules,C30J,M/D,L4T
Lockheed Martin,MC-130J Super Hercules,C30J,M/D,L4T
Lockheed Martin,WC-130J Super Hercules,C30J,M/D,L4T
McDonnell Douglas,A-4 Skyhawk,A4,M/G,L1J
McDonnell Douglas,AH-64 Apache,H64,M/G,H2T
McDonnell Douglas,AH-64 Longbow Apache,H64,M/G,H2T
McDonnell Douglas,AH-64 Pethen,H64,M/G,H2T
McDonnell Douglas,AH-6G,H500,L/G,H1T
McDonnell Douglas,AH-6J,MD52,L/G,H1T
McDonnell Douglas,ATF-18 Hornet,F18H,M/F,L2J
McDonnell Douglas,AV-8 Harrier,HAR,M/G,L1J
McDonnell Douglas,C-17 Globemaster 3,C17,H/C,L4J
McDonnell Douglas,C-9 Nightingale,DC93,M/E,L2J
McDonnell Douglas,C-9 Skytrain 2,DC93,M/E,L2J
McDonnell Douglas,CF-18 Hornet,F18H,M/F,L2J
McDonnell Douglas,CF-188 Hornet,F18H,M/F,L2J
McDonnell Douglas,DC-10,DC10,H/C,L3J
McDonnell Douglas,DC-8-50,DC85,H/C,L4J
McDonnell Douglas,DC-8-50 Jet Trader,DC85,H/C,L4J
McDonnell Douglas,DC-8-60,DC86,H/C,L4J
McDonnell Douglas,DC-8-70,DC87,H/C,L4J
McDonnell Douglas,DC-9-10,DC91,M/F,L2J
McDonnell Douglas,DC-9-20,DC92,M/E,L2J
McDonnell Douglas,DC-9-30,DC93,M/E,L2J
McDonnell Douglas,DC-9-40,DC94,M/E,L2J
McDonnell Douglas,DC-9-50,DC95,M/E,L2J
McDonnell Douglas,EAV-8 Matador,HAR,M/G,L1J
McDonnell Douglas,EF-18 Hornet,F18H,M/F,L2J
McDonnell Douglas,F-15 Akef,F15,M/F,L2J
McDonnell Douglas,F-15 Baz,F15,M/F,L2J
McDonnell Douglas,F-15 Eagle,F15,M/F,L2J
McDonnell Douglas,F-15 Ra'am,F15,M/F,L2J
McDonnell Douglas,F-4 Kurnass,F4,M/F,L2J
McDonnell Douglas,F-4 Phantom 2,F4,M/F,L2J
McDonnell Douglas,FA-18A Hornet,F18H,M/F,L2J
McDonnell Douglas,FA-18B Hornet,F18H,M/F,L2J
McDonnell Douglas,FA-18C Hornet,F18H,M/F,L2J
McDonnell Douglas,FA-18D Hornet,F18H,M/F,L2J
McDonnell Douglas,FA-18E Super Hornet,F18S,M/F,L2J
McDonnell Douglas,FA-18F Super Hornet,F18S,M/F,L2J
McDonnell Douglas,JAH-64 Apache,H64,M/G,H2T
McDonnell Douglas,KAF-18 Hornet,F18H,M/F,L2J
McDonnell Douglas,KC-10 Extender,DC10,H/C,L3J
McDonnell Douglas,KDC-10,DC10,H/C,L3J
McDonnell Douglas,MD-10,DC10,H/C,L3J
McDonnell Douglas,MD-11,MD11,H/C,L3J
McDonnell Douglas,MD-500,H500,L/G,H1T
McDonnell Douglas,MD-500 Defender,H500,L/G,H1T
McDonnell Douglas,MD-500 Nightfox,H500,L/G,H1T
McDonnell Douglas,MD-520N,MD52,L/G,H1T
McDonnell Douglas,MD-530F Lifter,H500,L/G,H1T
McDonnell Douglas,MD-530MG Defender,H500,L/G,H1T
McDonnell Douglas,MD-530MG Nightfox,H500,L/G,H1T
McDonnell Douglas,MD-530N,MD52,L/G,H1T
McDonnell Douglas,MD-600N,MD60,L/G,H1T
McDonnell Douglas,MD-81,MD81,M/D,L2J
McDonnell Douglas,MD-82,MD82,M/D,L2J
McDonnell Douglas,MD-83,MD83,M/D,L2J
McDonnell Douglas,MD-87,MD87,M/D,L2J
McDonnell Douglas,MD-88,MD88,M/D,L2J
McDonnell Douglas,MD-90,MD90,M/D,L2J
McDonnell Douglas,MD-900 Combat Explorer,EXPL,L/G,H2T
McDonnell Douglas,MD-900 Explorer,EXPL,L/G,H2T
McDonnell Douglas,MD-902 Explorer,EXPL,L/G,H2T
McDonnell Douglas,MH-6H,H500,L/G,H1T
McDonnell Douglas,MH-6J,MD52,L/G,H1T
McDonnell Douglas,MH-90 Enforcer,EXPL,L/G,H2T
McDonnell Douglas,OA-4 Skyhawk,A4,M/G,L1J
McDonnell Douglas,QF-4 Phantom 2,F4,M/F,L2J
McDonnell Douglas,RF-4 Kurnass,F4,M/F,L2J
McDonnell Douglas,RF-4 Phantom 2,F4,M/F,L2J
McDonnell Douglas,T-45 Goshawk,HAWK,L-M/G,L1J
McDonnell Douglas,TA-4 Skyhawk,A4,M/G,L1J
McDonnell Douglas,TAV-8 Harrier,HAR,M/G,L1J
McDonnell Douglas,TAV-8 Matador,HAR,M/G,L1J
McDonnell Douglas,VC-9,DC93,M/E,L2J
McDonnell Douglas,YC-15,C15,M/D,L4J
Mikoyan,MiG-23,MG23,M/G,L1J
Mikoyan,MiG-25,MG25,M/F,L2J
Mikoyan,MiG-27,MG23,M/G,L1J
Mikoyan,MiG-27 Bahadur,MG23,M/G,L1J
Mikoyan,MiG-29,MG29,M/F,L2J
Mikoyan,MiG-29 Baaz,MG29,M/F,L2J
Mikoyan,MiG-31,MG31,M/F,L2J
Mikoyan,MiG-33,MG29,M/F,L2J
Mikoyan,MiG-35,MG29,M/F,L2J
Mikoyan,MiG-AT,MGAT,L/G,L1J
Mil,AH-2 Sabre,MI24,M/G,H2T
Mil,Mi-10,MI10,M/D,H2T
Mil,Mi-14,MI14,M/G,H2T
Mil,Mi-17,MI8,M/G,H2T
Mil,Mi-171,MI8,M/G,H2T
Mil,Mi-172,MI8,M/G,H2T
Mil,Mi-19,MI8,M/G,H2T
Mil,Mi-2,MI2,L/G,H2T
Mil,Mi-22,MI6,M/D,H2T
Mil,Mi-24,MI24,M/G,H2T
Mil,Mi-25,MI24,M/G,H2T
Mil,Mi-26,MI26,M/D,H2T
Mil,Mi-28,MI28,M/G,H2T
Mil,Mi-34,MI34,L/G,H1P
Mil,Mi-35,MI24,M/G,H2T
Mil,Mi-35 Caribe,MI24,M/G,H2T
Mil,Mi-38,MI38,M/G,H2T
Mil,Mi-4,MI4,L/G,H1P
Mil,Mi-6,MI6,M/D,H2T
Mil,Mi-8,MI8,M/G,H2T
Mil,Mi-9,MI8,M/G,H2T
